country,population,poultry_supply_capita,poultry_import,poultry_production,GDP,stability,urban,animal_protein_ratio,poultry_protein_ratio,production_per_capita,poultry_gap,import_dependency
Syrian Arab Republic,19224668.0,8.05,24297670.0,122180000.0,3265.07029374996,-2.4453795,74.5395596323392,29.380281690140848,17.497603068072866,6.3553763321166326,1.6946236678833682,15.675916129032258
Tajikistan,9085946.0,4.14,2608610.0,6828700.0,3017.00314887354,-0.6533475,26.2731513977051,34.1651424091978,7.074569789674953,0.7515673106575804,3.3884326893424195,6.864763157894736
Thailand,71160187.0,12.64,356380.0,1659115620.0,17573.339815536,-0.984692599999999,49.2311973571777,41.88253012048192,20.64005753326142,23.31522287877068,-10.675222878770679,0.03674020618556701
Timor-Leste,1251703.0,10.41,6880540.0,907510.0,3463.11739023437,0.0703179999999999,29.3600996787092,36.875761266747865,19.405450041288194,0.7250202324353301,9.68497976756467,52.92723076923077
Trinidad and Tobago,1445261.0,58.1,16970000.0,63907000.0,28484.2557157494,0.0748617,53.9293186833833,51.93979224083104,53.755102040816325,44.218310741104894,13.881689258895108,20.202380952380953
Tunisia,11650498.0,16.71,233140.0,138800000.0,11288.7800135085,-0.7432926,68.2877807617188,31.058660873000193,24.864864864864867,11.91365381977663,4.79634618022337,0.11955897435897435
Türkiye,83083662.0,21.18,2752280.0,2136734370.0,28353.5406410966,-1.70623179999999,88.0320472717286,36.80678534812191,24.158014687262593,25.717864602549657,-4.537864602549657,0.15637954545454547
Turkmenistan,6507061.0,4.39,9647530.0,20953460.0,13278.4030353381,-0.2289187,47.0334857399476,50.680989833109535,3.7471612414837243,3.22011119920345,1.1698888007965498,31.12106451612903
Uganda,40177388.0,1.63,184050.0,88738370.0,2157.95747503369,-0.6855171,26.4139260579546,24.57303596544103,6.050695012264922,2.2086644856056843,-0.5786644856056844,0.27886363636363637
Ukraine,45436041.0,23.2,106930340.0,1184700000.0,11536.0810546875,-1.590004,69.2633108489282,45.21299483648882,24.86319295741137,26.074014679227883,-2.8740146792278836,10.125979166666667
United Arab Emirates,9234327.0,26.84,440543310.0,57387000.0,70281.8889504211,0.7192871,84.686675718659,43.21826280623608,31.177531564029888,6.214529764865377,20.62547023513462,88.99864848484849
United Kingdom of Great Britain and Northern Ireland,66354471.00000001,33.26,366959600.0,1660000000.0,46113.0211677324,0.4406625,82.23065673273,58.629418678238856,23.777949113338476,25.01715370468404,8.242846295315957,15.933981762917934
United Republic of Tanzania,55652890.0,1.22,2326600.0,63597000.0,2472.4931640625,-0.683829799999999,32.2987013317296,18.67551923731699,5.013673655423884,1.1427438898501048,0.0772561101498952,3.421470588235294
United States of America,332204660.0,54.6,58075280.0,19140570000.0,60047.7190728307,0.1101294,80.4018678392891,68.1067024578475,30.84123660549329,57.616801642698206,-3.016801642698205,0.3172645725211691
Uruguay,3388438.0,9.37,347870.0,74428000.0,23606.6278007958,1.1129983,95.2288235732042,55.3117907705609,8.382180539273154,21.965283118652312,-12.595283118652313,1.054151515151515
Uzbekistan,31819178.0,2.12,7695820.0,74800000.0,7818.01112977426,-0.2138791,50.6787376403809,41.976516634050874,2.2144522144522143,2.350783543182668,-0.23078354318266792,11.486298507462687
Vanuatu,278507.0,16.72,3394080.0,679220.0,3145.92734989467,0.8525004,24.7644441456437,38.644235526966845,24.23175416133163,2.4387896893076295,14.28121031069237,67.88159999999999
Viet Nam,95176977.0,9.75,105695060.0,786353680.0,9169.73192052855,0.1500179,33.3625963003742,36.76685804345379,13.349663196570733,8.262015718360123,1.4879842816398767,11.401840345199568
